,country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate,chthrate
0,Afghanistan,0.0,0.03,.5696534,26.8,75944000.0,25.6000003814697,0.0,3.65412162280064,48.673,0,5.0,0,6.68438529968,55.7000007629,24.04,26.8
1,Albania,1914.99655095,7.29,1.0247361,57.4,223747333.333,42.0999984741211,0.0,44.9899469578783,76.918,0,9.5,636.341383366604,7.69932985306,51.4000015259,46.72,57.4
2,Algeria,2231.99333515,0.69,2.306817,23.5,2932108666.67,31.7000007629394,0.1,12.5000733055148,73.131,.42009452521537,6.0,590.509814347428,4.84876966476,50.5,65.22,23.6
3,Andorra,21943.3398976,10.17,0,0.0,0.0,0,0.0,81,0.0,0,5.0,0,5.36217880249,0.0,88.92,0.0
4,Angola,1381.0042677,5.57,1.4613288,23.1,248358000.0,69.4000015258789,2.0,9.99995388324075,51.093,0,4.0,172.999227388199,14.5546770096,75.6999969482,56.7,25.1
5,Antigua and Barbuda,11894.4640745,8.17,0,0.0,16225000.0,0,0.0,80.6454545454545,0.0,0,5.0,0,2.16184329987,0.0,30.46,0.0
6,Argentina,10749.4192379,9.35,.560987,73.9,5872119000.0,45.9000015258789,0.5,36.0003349500148,75.901,.635943800978195,9.0,768.428299701347,7.765584,58.4000015259,92,74.4
7,Armenia,1326.74175719,13.66,2.6184384,51.6,51219666.6667,34.2000007629394,0.1,44.0010245795602,74.241,0,7.5,603.763057563433,3.74158787727,40.0999984741,63.86,51.7
8,Aruba,0.0,0.0,0,0.0,35871000.0,0,0.0,41.8008888888889,75.246,0,5.0,0,0.0,0.0,46.78,0.0
9,Australia,25249.9860615,10.21,.4862799,83.2,12970092666.7,54.5999984741211,0.1,75.8956537961344,81.907,1.91302610912404,10.0,2825.39109539914,8.47003012512,61.5,88.74,83.3
10,Austria,26692.9841066,12.4,.8155798,70.5,4466084333.33,49.7000007629394,0.3,72.7315755423123,80.854,1.54879096611674,10.0,2068.12330899163,13.09437,57.0999984741,67.16,70.8
11,Azerbaijan,2344.8969162,13.34,1.9767462,31.5,511107666.667,56.2000007629394,0.1,46.6797015683676,70.739,.35917260997566,1.5,921.562110759901,1.3809646368,60.9000015259,51.92,31.6
12,Bahamas,19630.5405471,8.65,.5452863,54.4,137555000.0,60.7000007629394,3.1,42.9845801749271,75.62,0,5.0,0,3.37441587448,66.5999984741,83.7,57.5
13,Bahrain,12505.2125447,4.19,5.2311429,40.2,503994333.333,30.2000007629394,0.0,54.9928090332805,75.057,0,1.5,7314.3556367342,4.41499042511,60.4000015259,88.52,40.2
14,Bangladesh,558.062876627,0.17,.2878915,16.6,598774000.0,53.5999984741211,0.06,3.70000325975843,68.944,.03228146619272,7.5,68.1152285841314,14.538356781,68.0999984741,27.14,16.66
15,Barbados,9243.5870526,6.42,.6639555,62.5,36160666.6667,60.2999992370606,1.4,70.028599270073,76.835,0,5.0,0,3.1086025238,66.9000015259,39.84,63.9
16,Belarus,2737.67037938,18.85,3.7119299,36.0,999874333.333,48.5999984741211,0.3,32.0521439093783,70.349,.687828079664248,1.5,614.907287211113,26.8746902951,53.4000015259,73.46,36.3
17,Belgium,24496.0482641,10.41,.8156477,92.0,10897025333.3,41.7000007629394,0.2,73.7339344713656,80.009,0,9.0,1920.96221521997,15.95385,48.5999984741,97.36,92.2
18,Belize,3545.65217391,5.92,.7583556,29.8,14058000.0,38.7999992370606,2.3,12.6457333333333,76.072,0,5.0,0,9.38879585266,56.7999992371,51.7,32.1
19,Benin,377.039699461,2.08,.2233986,28.1,37950000.0,58.2000007629394,1.2,3.12996180338983,56.081,0,8.5,38.2229433578852,6.05773973465,71.5999984741,41.2,29.3
20,Bermuda,62682.1470059,0.0,0,0.0,20331666.6667,0,0.0,84.6545140866873,0.0,0,5.0,0,0.0,0.0,100,0.0
21,Bhutan,1324.19490627,0.54,0,21.8,6024333.33333,39.9000015258789,0.2,13.5988760330578,67.185,0,6.5,0,15.5426025391,58.4000015259,34.48,22.0
22,Bolivia,1232.79413698,5.78,1.8821978,24.7,254939666.667,61.5999984741211,0.2,20.0017101420083,66.618,0,8.5,213.061613682625,2.03417849541,70.4000015259,65.58,24.9
23,Bosnia and Herzegovina,2183.34486702,9.6,.4628471,58.9,236419333.333,34.9000015258789,0.0,52.0020606382979,75.67,0,5.0,927.119497375994,11.8367156982,41.2000007629,47.44,58.9
24,Botswana,4189.43658749,6.97,1.1319097,33.4,78943333.3333,38.7000007629394,24.8,5.9998355754858,53.183,0,9.0,454.795705303917,11.2139701843,46.0,59.58,58.2
25,Brazil,4699.41126207,10.08,.7213964,46.0,9580226333.33,53.2999992370606,0.45,40.6500980040627,73.488,.599651788515833,9.0,498.165305235568,4.777007,64.5,85.58,46.45
26,Brunei,17092.4600038,1.86,4.683989,20.6,254206333.333,55.5,0.0,49.9899749373434,78.005,0,5.0,3067.49890103189,1.37000155449,63.7999992371,74.82,20.6
27,Bulgaria,2549.55847381,11.4,2.0433877,46.2,3157700333.33,42.0999984741211,0.1,45.9865899070879,73.371,.560423530742967,9.5,1380.86928851973,9.216544,47.2999992371,71.1,46.3
28,Burkina Faso,276.200412965,7.32,.1629041,30.6,20628666.6667,75.8000030517578,1.2,1.4000606995385,55.439,0,5.0,0,8.20422172546,81.3000030518,19.56,31.8
29,Burundi,115.305995905,9.65,1.1577498,19.5,8092333.33333,83.3000030517578,3.3,2.10021270579814,50.411,0,8.0,0,14.6809358597,83.1999969482,10.4,22.8
30,Cambodia,557.947512596,4.71,2.5364458,21.5,45411666.6667,73.4000015258789,0.5,1.25993360916614,63.125,0,6.0,51.5813195796782,4.96107149124,78.9000015259,21.56,22.0
31,Cameroon,713.639302724,7.9,.305758,29.7,125172666.667,49,5.3,3.99997734578295,51.61,0,3.0,59.5512449813566,7.21422052383,59.0999984741,56.76,35.0
32,Canada,25575.3526227,10.2,.3429763,84.3,24979045666.7,58.9000015258789,0.2,81.3383926859286,81.012,3.00735585130469,10.0,4772.37064777813,10.10099,63.5,80.4,84.5
33,Cape Verde,1959.84447245,4.98,.4833248,28.1,5214000.0,43.5999984741211,0.0,29.999939516129,74.156,0,5.0,0,5.63333368301,55.9000015259,59.62,28.1
34,Cayman Islands,0.0,0.0,0,0.0,8968666.66667,0,0.0,66,0.0,0,5.0,0,0.0,0.0,100,0.0
35,Central African Rep.,239.518749365,3.17,.1486587,16.5,8338000.0,62.9000015258789,4.7,2.3000266530334,48.398,0,4.5,0,13.5484199524,71.3000030518,38.58,21.2
36,Chad,275.884286532,4.39,.8358123,16.5,7608333.33333,66.3000030517578,3.4,1.70003149550191,49.553,0,4.0,0,8.28307056427,68.9000015259,26.68,19.9
37,Chile,6334.105194,8.81,1.3411144,43.9,1839471333.33,35.5,0.4,45,79.12,.85896155171229,10.0,532.515177206975,10.17187,51.0,88.44,44.3
38,China,2425.47129327,5.56,.3713568,18.7,1.01386215333e+11,68.9000015258789,0.1,34.3777895192408,73.456,.31953236898534,1.5,331.376632032295,16.9132480621,72.8000030518,43.1,18.8
39,Colombia,3233.42378013,6.59,2.2156207,30.3,2269806000.0,54.9000015258789,0.5,36.4998746408899,73.703,.237607469048225,8.5,404.591365372499,4.907702,63.2000007629,74.5,30.8
40,Comoros,336.368749482,0.28,0,19.5,2368666.66667,59.2999992370606,0.1,5.09826530612245,61.061,0,9.5,0,4.75108385086,68.0,28.08,19.6
41,"Congo, Dem. Rep.",103.775857241,3.39,.628381,10.3,169180000.0,50.4000015258789,0.0,.720008677328886,48.397,0,7.5,30.7092435483984,14.7130203247,66.1999969482,33.96,10.3
42,"Congo, Rep.",1253.29201505,4.46,.7716936,20.6,46306333.3333,52.2999992370606,3.4,4.99987509275291,57.379,0,3.0,56.3724503102233,9.87376117706,64.1999969482,61.34,24.0
43,Cook Islands,0.0,3.23,0,0.0,1045000.0,0,0.0,0,0.0,0,5.0,0,4.37336492538,0.0,0,0.0
44,Costa Rica,5188.90093519,5.81,.4736536,30.9,148470666.667,40.0999984741211,0.3,36.4991147241897,79.311,0,10.0,798.340599644843,6.597168,58.5999984741,63.26,31.2
